OrderID,OrderDate,OrderTime,City,CustomerSegment,CuisineType,RestaurantID,RestaurantRating,OrderValue,DeliveryFee,DeliveryTime,DeliveryDistance,CustomerRating,DeliveryPartnerRating,CashPayment,CardPayment,WalletPayment,UPIPayment,DiscountAmount,PromoDiscount,TipAmount,TimePeriod,WeatherCondition,DayOfWeek
5070,2024-09-17,13:23,East Zone,Regular Customer,Japanese,205,3.8,42.62,6.73,36,9.89,3.8,4.8,0,0,42.62,0,6.17,0.64,0,Afternoon,Clear,Tuesday
5071,2024-09-03,12:58,East Zone,Regular Customer,Japanese,134,,34.56,7.65,,9.83,3.6,4.5,34.56,0,0,0,2.64,0,,Afternoon,Cloudy,Tuesday
5072,2024-09-10,13:13,East Zone,Regular Customer,Fast Food,158,3.1,17.7,6.85,71,12.74,3,4.6,0,17.7,0,0,0.35,0,0,Afternoon,Rainy,Tuesday
5073,2024-09-06,13:53,South Zone,VIP Customer,American,112,3.5,62.2,4.83,22,3.94,4.2,4.9,0,0,0,62.2,7.32,1.21,6.07,Afternoon,Cloudy,Friday
5074,2024-09-19,22:29,East Zone,Regular Customer,Japanese,142,4.4,45.56,2.46,10,1.26,4.5,3.7,0,45.56,0,0,0.57,0,2.3,Night,Rainy,Thursday
5075,2024-09-27,21:05,South Zone,Regular Customer,Thai,107,3.1,28.88,4.66,20,5.92,4.9,4.8,0,0,0,28.88,2.82,0.4,0,Night,Clear,Friday
5076,2024-09-27,23:44,South Zone,VIP Customer,American,215,4.1,26.05,3.95,28,3.63,3.6,3.9,26.05,0,0,0,1.18,0,0,Night,Clear,Friday
5077,2024-09-14,22:04,North Zone,Regular Customer,Italian,232,4.3,25.19,2.21,,0.52,4.1,5,0,25.19,0,0,0.26,0,3.96,Night,Rainy,Saturday
5078,2024-09-18,8:24,West Zone,New Customer,Japanese,196,4.5,17.64,1.98,10,1.48,4.7,4,0,0,17.64,0,0.12,0,,Morning,Clear,Wednesday
5079,2024-09-25,22:44,West Zone,VIP Customer,Indian,135,4.9,27.03,5.87,30,3.42,4,5,27.03,0,0,0,2.2,0,6.52,Night,Stormy,Wednesday
5080,2024-09-07,17:22,North Zone,VIP Customer,Thai,170,4.9,49.03,4.82,34,6.3,4,4.2,49.03,0,0,0,6.8,0,3.04,Evening,Cloudy,Saturday
5081,2024-09-03,21:38,South Zone,VIP Customer,Mexican,183,4.4,43.04,4.84,23,4.79,4.4,3.6,43.04,0,0,0,5.62,0,1.46,Night,Clear,Tuesday
5082,2024-09-26,9:04,West Zone,Regular Customer,Indian,108,4.9,16.22,3.06,17,1.47,4,3.7,0,16.22,0,0,1.09,0,0.77,Morning,Stormy,Thursday
5083,2024-09-05,19:25,East Zone,VIP Customer,Mexican,164,4.5,65.46,7.85,33,7.74,4.2,3.8,65.46,0,0,0,6.01,6.54,0,Evening,Clear,Thursday
5084,2024-09-05,10:28,South Zone,VIP Customer,American,123,4.4,64.02,7.52,29,8.47,4.4,4.5,0,0,64.02,0,7.62,0,2.73,Morning,Cloudy,Thursday
5085,2024-09-07,12:15,West Zone,New Customer,Thai,242,3.8,29.7,8.64,38,8.5,4.2,4.2,0,0,29.7,0,1.83,0,,Afternoon,Stormy,Saturday
5086,2024-09-11,10:28,West Zone,VIP Customer,Thai,133,3.6,48.79,6.69,47,13.71,2.7,4.9,0,48.79,0,0,1.65,2.53,,Morning,Rainy,Wednesday
5087,2024-09-03,16:12,East Zone,New Customer,Mexican,237,3.7,23.98,7.1,51,8.92,3.9,3.6,23.98,0,0,0,3.11,0,0,Afternoon,Rainy,Tuesday
5088,2024-09-21,16:41,South Zone,VIP Customer,Japanese,108,3.6,60.3,4.23,28,4.88,3.6,3.6,0,0,0,60.3,3.98,0,0,Afternoon,Cloudy,Saturday
5089,2024-09-07,18:38,South Zone,Regular Customer,Thai,189,3.5,41.62,6.87,31,7.97,3.7,3.6,0,0,0,41.62,1.81,0,0,Evening,Rainy,Saturday
5090,2024-09-20,21:15,South Zone,Regular Customer,Thai,149,4.9,49.86,9.58,40,7.27,3.3,5,0,49.86,0,0,1.61,0,0,Night,Stormy,Friday
5091,2024-09-02,17:31,West Zone,Regular Customer,Italian,128,,45.89,9.17,50,11.05,3.3,4,0,0,0,45.89,1.99,0,0,Evening,Rainy,Monday
5092,2024-09-15,16:52,North Zone,New Customer,Chinese,201,4,23.06,3.93,29,5.8,3.5,3.7,0,0,23.06,0,1.15,0,0,Afternoon,Cloudy,Sunday
5093,2024-09-15,12:38,South Zone,Regular Customer,Thai,142,3.6,35.78,8.28,37,7.86,4.3,4.1,0,0,0,35.78,3.62,2.09,3.04,Afternoon,Cloudy,Sunday
5094,2024-09-23,8:38,West Zone,Regular Customer,Fast Food,114,,33.35,9.21,54,10.96,3.4,4.6,0,0,0,33.35,0.95,0,0,Morning,Rainy,Monday
5095,2024-09-14,12:26,South Zone,Regular Customer,American,116,3.9,34.63,8.17,60,14.97,3.3,4.3,0,34.63,0,0,3.51,2.36,,Afternoon,Rainy,Saturday
5096,2024-09-26,16:39,West Zone,New Customer,Fast Food,172,3.6,3.15,9.2,77,14.74,,4.9,0,0,33.42,0,3.99,0,0,Afternoon,Rainy,Thursday
5097,2024-09-04,20:57,West Zone,Regular Customer,Indian,175,3.4,48.44,3.35,,1.65,4.8,3.9,48.44,0,0,0,4.08,0,0,Evening,Cloudy,Wednesday
5098,2024-09-24,15:15,North Zone,VIP Customer,Fast Food,160,4.9,47.73,6.85,43,10.9,,3.7,47.73,0,0,0,4.67,2.27,,Afternoon,Clear,Tuesday
5099,2024-09-10,18:18,North Zone,New Customer,Fast Food,237,4.6,19.28,9.77,45,12.65,2.8,4.6,19.28,0,0,0,2.52,0,0,Evening,Rainy,Tuesday
5100,2024-09-02,8:19,North Zone,Regular Customer,Mexican,217,4.5,44.79,7.17,28,7.29,4.1,4.6,0,0,0,44.79,0.09,0,0,Morning,Rainy,Monday
5101,2024-09-22,14:11,West Zone,Regular Customer,Thai,123,,21.47,2.15,15,2.54,4.4,3.9,0,0,0,21.47,1.06,0,1.42,Afternoon,Clear,Sunday
5102,2024-09-12,15:03,North Zone,Regular Customer,Mexican,141,3.4,39.16,9.79,,9.76,NA,3.7,0,0,0,39.16,4.39,1.63,0,Afternoon,Cloudy,Thursday
5103,2024-09-18,23:48,South Zone,New Customer,Chinese,235,3.4,10.11,6.72,39,8.68,4,3.7,0,0,0,10.11,1.3,0,3.01,Night,Cloudy,Wednesday
5104,2024-09-16,10:57,West Zone,New Customer,American,134,3.8,23.23,8.85,41,8.6,3.7,4.6,0,0,0,23.23,2.02,0,0,Morning,Stormy,Monday
5105,2024-09-12,10:34,North Zone,New Customer,American,109,3.7,12.86,2.78,24,2.46,4.9,4.2,0,0,12.86,0,1.77,0,0,Morning,Stormy,Thursday
5106,2024-09-22,12:41,East Zone,New Customer,Indian,238,3.9,27.65,3.51,18,3.73,4.7,4.1,0,0,0,27.65,1.57,0,,Afternoon,Rainy,Sunday
5107,2024-09-07,11:02,West Zone,VIP Customer,Italian,162,3.5,30.55,2.7,8,0.99,4,4.2,0,30.55,0,0,2.47,2.37,0,Morning,Clear,Saturday
5108,2024-09-10,15:52,East Zone,VIP Customer,Thai,161,4.9,79.21,7.95,39,8.06,4.4,4.9,0,0,79.21,0,7.44,0,4.97,Afternoon,Rainy,Tuesday
5109,2024-09-12,20:50,East Zone,VIP Customer,Japanese,205,4.7,45.71,8.16,51,11.44,2.7,4.2,0,45.71,0,0,0.4,0,0,Evening,Cloudy,Thursday
5110,2024-09-14,12:24,South Zone,Regular Customer,Fast Food,185,3.8,44.65,2.95,16,1.84,4.6,3.6,44.65,0,0,0,0.49,2.62,,Afternoon,Stormy,Saturday
5111,2024-09-07,18:19,North Zone,New Customer,Fast Food,131,4.6,26.78,7.89,44,10.7,3.1,4.3,0,0,0,26.78,1.44,0,0,Evening,Rainy,Saturday
5112,2024-09-17,23:29,North Zone,VIP Customer,American,182,3.5,42.21,3.23,9,1.16,4.9,4.4,0,42.21,0,0,2.64,0,0,Night,Cloudy,Tuesday
5113,2024-09-13,15:31,East Zone,Regular Customer,American,226,4.8,40.65,3.92,29,5.61,4,4.5,0,0,0,40.65,0.36,0,3.81,Afternoon,Rainy,Friday
5114,2024-09-22,9:48,North Zone,Regular Customer,Indian,160,4.9,15.32,7.81,47,7.83,3.9,4.5,15.32,0,0,0,0.04,0,0,Morning,Rainy,Sunday
5115,2024-09-14,8:01,East Zone,VIP Customer,Mexican,105,3.5,30.89,1.8,18,1.9,4.4,4.7,0,0,0,30.89,0.37,1.42,3.46,Morning,Rainy,Saturday
5116,2024-09-23,15:19,North Zone,VIP Customer,Italian,124,4,45.74,8.73,46,7.4,3.2,4.7,0,0,0,45.74,3.88,0.44,5.17,Afternoon,Stormy,Monday
5117,2024-09-02,15:13,West Zone,Regular Customer,Italian,120,4.5,21.28,6.55,37,12.83,4.2,4.1,0,0,21.28,0,0.25,0,0,Afternoon,Clear,Monday
5118,2024-09-27,20:43,East Zone,Regular Customer,Indian,121,4.9,18.42,3.73,26,3.87,3.9,4.7,0,0,18.42,0,0.08,0,0,Evening,Clear,Friday
5119,2024-09-15,23:14,East Zone,VIP Customer,Japanese,211,3.5,29.71,9.29,57,9.47,3.1,4.7,0,29.71,0,0,0.69,0,4.16,Night,Stormy,Sunday
5120,2024-09-03,8:19,West Zone,Regular Customer,Mexican,127,3.2,21.56,8.44,24,7.01,4.6,4.4,0,21.56,0,0,2.54,0.03,3.23,Morning,Clear,Tuesday
5121,2024-09-24,15:36,South Zone,VIP Customer,Japanese,144,3.6,41.56,6.72,32,7.65,4.3,4,0,41.56,0,0,5.89,2.06,2.1,Afternoon,Cloudy,Tuesday
5122,2024-09-05,17:00,West Zone,Regular Customer,Japanese,185,3.6,30.07,8.78,48,12.44,3.9,3.8,0,0,0,30.07,1.42,2.91,0,Evening,Cloudy,Thursday
5123,2024-09-10,23:36,South Zone,Regular Customer,Japanese,172,4.5,18.99,8.57,41,8.68,,4.6,0,0,0,18.99,2.69,0,0,Night,Cloudy,Tuesday
5124,2024-09-26,17:53,North Zone,Regular Customer,American,136,5,3.15,2.35,21,2.74,4.5,4.1,0,0,23.84,0,1.81,1.65,3.27,Evening,Rainy,Thursday
5125,2024-09-12,10:06,South Zone,VIP Customer,Thai,143,3.5,78.17,5.89,24,5.31,4.5,4.3,78.17,0,0,0,6.81,0,1.87,Morning,Stormy,Thursday
5126,2024-09-25,12:22,North Zone,Regular Customer,Chinese,176,4.6,19.06,7,49,14.14,3.3,4,0,0,0,19.06,0.28,0.86,0,Afternoon,Clear,Wednesday
5127,2024-09-03,17:02,North Zone,New Customer,Thai,128,3.5,21.93,7.66,43,8.5,3.1,3.8,0,21.93,0,0,2.11,0,0,Evening,Rainy,Tuesday
5128,2024-09-01,14:28,West Zone,Regular Customer,Italian,155,N/A,41.33,6.72,39,12.23,3.8,4.2,0,41.33,0,0,1.63,2.18,0,Afternoon,Cloudy,Sunday
5129,2024-09-21,18:38,West Zone,VIP Customer,Japanese,130,4.8,71.5,9.35,41,9.45,3.4,4.5,0,0,71.5,0,3.36,0,2.7,Evening,Cloudy,Saturday
5130,2024-09-12,12:32,West Zone,Regular Customer,Indian,248,4.1,21.5,8.93,58,9.71,3.2,3.7,0,0,0,21.5,1.01,0,0,Afternoon,Stormy,Thursday
5131,2024-09-02,19:00,West Zone,New Customer,Fast Food,199,4.1,26.49,6.02,37,6.53,,3.8,0,0,0,26.49,0.13,0,0,Evening,Stormy,Monday
5132,2024-09-25,22:36,West Zone,VIP Customer,Chinese,247,4.5,67.63,7.78,50,12.44,3.2,3.8,67.63,0,0,0,4.31,4.42,0,Night,Cloudy,Wednesday
5133,2024-09-08,17:55,North Zone,Regular Customer,Mexican,190,4.4,45.29,3.12,22,2.2,4.9,4.4,45.29,0,0,0,2.91,3.55,3.32,Evening,Stormy,Sunday
5134,2024-09-19,19:34,East Zone,VIP Customer,Indian,183,3.3,56.5,8.3,60,14.31,3.6,4.1,0,0,56.5,0,0.5,0,0,Evening,Cloudy,Thursday
5135,2024-09-21,12:44,South Zone,New Customer,Indian,183,3.2,21.22,7.44,52,8.87,3.7,4.7,0,21.22,0,0,1.28,1.47,0,Afternoon,Stormy,Saturday
5136,2024-09-29,19:29,West Zone,Regular Customer,Italian,124,4,44.75,7.89,55,12.04,3,3.9,0,0,0,44.75,3.67,0,0,Evening,Cloudy,Sunday
5137,2024-09-28,23:50,East Zone,VIP Customer,Italian,112,3.4,25.9,7.05,,13.98,3.5,3.7,25.9,0,0,0,2.53,0,0,Night,Stormy,Saturday
5138,2024-09-30,16:05,East Zone,Regular Customer,Chinese,196,3.2,3.15,5.6,27,4.93,3.6,3.8,0,28.87,0,0,0.34,0,0,Afternoon,Clear,Monday
5139,2024-09-17,22:00,North Zone,VIP Customer,Thai,131,3.6,51.27,3.77,23,3.82,4.9,3.7,0,0,0,51.27,5.95,0.68,1,Night,Rainy,Tuesday
5140,2024-09-17,8:39,South Zone,Regular Customer,Thai,155,4.5,36.56,4.15,,6.91,3.4,4.1,0,36.56,0,0,5.28,0,0,Morning,Stormy,Tuesday
5141,2024-09-05,15:17,North Zone,New Customer,Mexican,107,4.6,21.98,9.12,31,7.89,4.3,3.9,0,0,21.98,0,1.27,0,0.75,Afternoon,Rainy,Thursday
5142,2024-09-29,8:23,East Zone,New Customer,Japanese,246,3,22.75,4.91,17,3.01,4.1,3.9,0,0,0,22.75,0.14,0,2.27,Morning,Cloudy,Sunday
5143,2024-09-21,21:27,West Zone,New Customer,Indian,172,3.8,10.13,9.91,42,13.85,3.5,4.8,10.13,0,0,0,1.03,0,0,Night,Cloudy,Saturday
5144,2024-09-23,21:46,South Zone,New Customer,Fast Food,123,3.2,20.24,7.58,39,9.33,4.2,4.6,0,0,0,20.24,0.5,1.06,3.02,Night,Clear,Monday
5145,2024-09-06,19:08,East Zone,VIP Customer,Chinese,108,4,39.96,2.92,13,1.43,4.5,3.6,0,0,39.96,0,5.15,0,0,Evening,Stormy,Friday
5146,2024-09-25,11:57,North Zone,New Customer,Italian,112,4.1,9.24,6.26,22,5.78,4.9,4.6,9.24,0,0,0,0.58,0,3.02,Morning,Rainy,Wednesday
5147,2024-09-09,10:36,East Zone,New Customer,Italian,146,3.7,33.76,2.43,12,1.5,4.6,3.5,0,33.76,0,0,1.02,0,0,Morning,Clear,Monday
5148,2024-09-20,15:29,East Zone,VIP Customer,American,151,4.9,25.35,4.2,27,6.45,3.5,4.5,0,25.35,0,0,3.23,0.26,5.18,Afternoon,Rainy,Friday
5149,2024-09-08,21:31,North Zone,New Customer,Mexican,124,4.2,32.23,8.95,99999,8.04,4,4.5,32.23,0,0,0,1.91,0,0,Night,Rainy,Sunday
5150,2024-09-22,12:15,East Zone,Regular Customer,Thai,201,3.2,30.85,6.33,22,3.89,4.1,4.2,0,0,30.85,0,1.45,0,,Afternoon,Cloudy,Sunday
